subject,object,predicate
Estella,Australia,IS_LOCATED_IN
Estella,2269,HAS_POPULATION
Estella,2650,HAS_POSTCODE
Estella,lat:-35.0681,HAS_COORDINATES
Estella,lon:147.354,HAS_COORDINATES
Ettalong Beach,suburb,IS_A
Ettalong Beach,Australia,IS_LOCATED_IN
Ettalong Beach,4793,HAS_POPULATION
Ettalong Beach,2257,HAS_POSTCODE
Ettalong Beach,lat:-33.515,HAS_COORDINATES
Ettalong Beach,lon:151.335,HAS_COORDINATES
Eveleigh,suburb,IS_A
Eveleigh,Australia,IS_LOCATED_IN
Eveleigh,663,HAS_POPULATION
Eveleigh,2015,HAS_POSTCODE
Eveleigh,lat:-33.895,HAS_COORDINATES
Eveleigh,lon:151.191,HAS_COORDINATES
Failford,suburb,IS_A
Failford,Australia,IS_LOCATED_IN
Failford,516,HAS_POPULATION
Failford,2430,HAS_POSTCODE
Failford,lat:-32.0847,HAS_COORDINATES
Failford,lon:152.444,HAS_COORDINATES
Fairfield,suburb,IS_A
Fairfield,Australia,IS_LOCATED_IN
Fairfield,18081,HAS_POPULATION
Fairfield,2165,HAS_POSTCODE
Fairfield,lat:-33.8703,HAS_COORDINATES
Fairfield,lon:150.956,HAS_COORDINATES
Fairfield East,suburb,IS_A
Fairfield East,Australia,IS_LOCATED_IN
Fairfield East,5273,HAS_POPULATION
Fairfield East,2165,HAS_POSTCODE
Fairfield East,lat:-33.8718,HAS_COORDINATES
Fairfield East,lon:150.973,HAS_COORDINATES
Fairfield Heights,suburb,IS_A
Fairfield Heights,Australia,IS_LOCATED_IN
Fairfield Heights,7517,HAS_POPULATION
Fairfield Heights,2165,HAS_POSTCODE
Fairfield Heights,lat:-33.8685,HAS_COORDINATES
Fairfield Heights,lon:150.942,HAS_COORDINATES
Fairfield Heights,lat:-33.86445,HAS_COORDINATES
Fairfield Heights,lon:150.93884,HAS_COORDINATES
Fairfield West,suburb,IS_A
Fairfield West,Australia,IS_LOCATED_IN
Fairfield West,11575,HAS_POPULATION
Fairfield West,2165,HAS_POSTCODE
Fairfield West,lat:-33.8711,HAS_COORDINATES
Fairfield West,lon:150.923,HAS_COORDINATES
Fairy Meadow,suburb,IS_A
Fairy Meadow,Australia,IS_LOCATED_IN
Fairy Meadow,7405,HAS_POPULATION
Fairy Meadow,2519,HAS_POSTCODE
Fairy Meadow,lat:-34.4006,HAS_COORDINATES
Fairy Meadow,lon:150.892,HAS_COORDINATES
Farmborough Heights,suburb,IS_A
Farmborough Heights,Australia,IS_LOCATED_IN
Farmborough Heights,4198,HAS_POPULATION
Farmborough Heights,2526,HAS_POSTCODE
Farmborough Heights,lat:-34.4556,HAS_COORDINATES
Farmborough Heights,lon:150.819,HAS_COORDINATES
Fassifern,suburb,IS_A
Fassifern,Australia,IS_LOCATED_IN
Fassifern,601,HAS_POPULATION
Fassifern,2283,HAS_POSTCODE
Fassifern,lat:-32.987,HAS_COORDINATES
Fassifern,lon:151.585,HAS_COORDINATES
Fennell Bay,suburb,IS_A
Fennell Bay,Australia,IS_LOCATED_IN
Fennell Bay,1613,HAS_POPULATION
Fennell Bay,2283,HAS_POSTCODE
Fennell Bay,lat:-32.994,HAS_COORDINATES
Fennell Bay,lon:151.598,HAS_COORDINATES
Fennell Bay,lat:-32.9922,HAS_COORDINATES
Fennell Bay,lon:151.60008,HAS_COORDINATES
Fern Bay,suburb,IS_A
Fern Bay,Australia,IS_LOCATED_IN
Fern Bay,2763,HAS_POPULATION
Fern Bay,2295,HAS_POSTCODE
Fern Bay,lat:-32.8739,HAS_COORDINATES
Fern Bay,lon:151.795,HAS_COORDINATES
Fiddletown,suburb,IS_A
Fiddletown,Australia,IS_LOCATED_IN
Fiddletown,233,HAS_POPULATION
Fiddletown,2159,HAS_POSTCODE
Fiddletown,lat:-33.6026,HAS_COORDINATES
Fiddletown,lon:151.05,HAS_COORDINATES
Figtree,suburb,IS_A
Figtree,Australia,IS_LOCATED_IN
Figtree,11564,HAS_POPULATION
Figtree,2525,HAS_POSTCODE
Figtree,lat:-34.4333,HAS_COORDINATES
Figtree,lon:150.85,HAS_COORDINATES
Fingal Bay,suburb,IS_A
Fingal Bay,Australia,IS_LOCATED_IN
Fingal Bay,1614,HAS_POPULATION
Fingal Bay,2315,HAS_POSTCODE
Fingal Bay,lat:-32.75,HAS_COORDINATES
Fingal Bay,lon:152.167,HAS_COORDINATES
Fingal Head,suburb,IS_A
Fingal Head,Australia,IS_LOCATED_IN
Fingal Head,544,HAS_POPULATION
Fingal Head,592,HAS_POPULATION
Fingal Head,2487,HAS_POSTCODE
Fingal Head,lat:-28.2,HAS_COORDINATES
Fingal Head,lon:153.567,HAS_COORDINATES
Fishermans Bay,suburb,IS_A
Fishermans Bay,Australia,IS_LOCATED_IN
Fishermans Bay,63,HAS_POPULATION
Fishermans Bay,2316,HAS_POSTCODE
Fishermans Bay,lat:-32.7878,HAS_COORDINATES
Fishermans Bay,lon:152.09,HAS_COORDINATES
Fishing Point,suburb,IS_A
Fishing Point,Australia,IS_LOCATED_IN
Fishing Point,1039,HAS_POPULATION
Fishing Point,2283,HAS_POSTCODE
Fishing Point,lat:-33.057,HAS_COORDINATES
Fishing Point,lon:151.596,HAS_COORDINATES
Fletcher,suburb,IS_A
Fletcher,Australia,IS_LOCATED_IN
Fletcher,5136,HAS_POPULATION
Fletcher,2287,HAS_POSTCODE
Fletcher,lat:-32.865,HAS_COORDINATES
Fletcher,lon:151.635,HAS_COORDINATES
Forest Glen,suburb,IS_A
Forest Glen,Australia,IS_LOCATED_IN
Forest Glen,65,HAS_POPULATION
Forest Glen,2157,HAS_POSTCODE
Forest Glen,lat:-33.5505,HAS_COORDINATES
Forest Glen,lon:151.02,HAS_COORDINATES
Forest Hill,suburb,IS_A
Forest Hill,Australia,IS_LOCATED_IN
Forest Hill,2274,HAS_POPULATION
Forest Hill,2651,HAS_POSTCODE
Forest Hill,lat:-35.15,HAS_COORDINATES
Forest Hill,lon:147.46666666667,HAS_COORDINATES
Forestville,suburb,IS_A
Forestville,Australia,IS_LOCATED_IN
Forestville,8329,HAS_POPULATION
Forestville,2087,HAS_POSTCODE
Forestville,lat:-33.7613,HAS_COORDINATES
Forestville,lon:151.211,HAS_COORDINATES
Forresters Beach,suburb,IS_A
Forresters Beach,Australia,IS_LOCATED_IN
Forresters Beach,2496,HAS_POPULATION
Forresters Beach,2900,HAS_POPULATION
Forresters Beach,2260,HAS_POSTCODE
Forresters Beach,lat:-33.407,HAS_COORDINATES
Forresters Beach,lon:151.476,HAS_COORDINATES
Frenchs Forest,suburb,IS_A
Frenchs Forest,Australia,IS_LOCATED_IN
Frenchs Forest,13473,HAS_POPULATION
Frenchs Forest,2086,HAS_POSTCODE
Frenchs Forest,lat:-33.749,HAS_COORDINATES
