subject,object,predicate
Lundin Petroleum,aktiebolag,IS_A
Lundin Petroleum,Stockholm Stock Exchange,TRADES_ON
Anglo-Persian Oil Company,business,IS_A
Anglo-Persian Oil Company,petroleum industry,IN_INDUSTRY
Motul,business,IS_A
Motul,petroleum industry,IN_INDUSTRY
Motul,société anonyme,IS_A
ARCO,oil company,IS_A
ARCO,business,IS_A
ARCO,petroleum industry,IN_INDUSTRY
ARCO,BP,OWNED_BY
Chevron Corporation,business,IS_A
Chevron Corporation,oil company,IS_A
Chevron Corporation,enterprise,IS_A
Chevron Corporation,petroleum industry,IN_INDUSTRY
Chevron Corporation,joint-stock company,IS_A
Chevron Corporation,New York Stock Exchange,TRADES_ON
Lukoil,business,IS_A
Lukoil,enterprise,IS_A
Lukoil,extraction of petroleum,IN_INDUSTRY
Lukoil,petroleum industry,IN_INDUSTRY
Lukoil,open joint-stock company,IS_A
Lukoil,Moscow Exchange,TRADES_ON
Standard Oil,business,IS_A
Standard Oil,enterprise,IS_A
Standard Oil,petroleum industry,IN_INDUSTRY
Standard Oil,joint-stock company,IS_A
Agip,business,IS_A
Agip,petroleum industry,IN_INDUSTRY
Agip,Eni,OWNED_BY
Devon Energy Center,building,IS_A
Devon Energy Center,petroleum industry,IN_INDUSTRY
Devon Energy Center,Devon Energy,OWNED_BY
Alyeska Pipeline Service Company,business,IS_A
Alyeska Pipeline Service Company,petroleum industry,IN_INDUSTRY
Marathon Petroleum,business,IS_A
Marathon Petroleum,petroleum industry,IN_INDUSTRY
Marathon Petroleum,New York Stock Exchange,TRADES_ON
Amoco,business,IS_A
Amoco,enterprise,IS_A
Amoco,petroleum industry,IN_INDUSTRY
Amoco,joint-stock company,IS_A
Amoco,BP,OWNED_BY
Sudapet,business,IS_A
Sudapet,petroleum industry,IN_INDUSTRY
Anadarko Petroleum Corporation,business,IS_A
Anadarko Petroleum Corporation,enterprise,IS_A
Anadarko Petroleum Corporation,petroleum industry,IN_INDUSTRY
Anadarko Petroleum Corporation,public company,IS_A
Anadarko Petroleum Corporation,New York Stock Exchange,TRADES_ON
Korea National Oil Corporation,business,IS_A
Korea National Oil Corporation,petroleum industry,IN_INDUSTRY
Japan Energy,business,IS_A
Japan Energy,enterprise,IS_A
Japan Energy,petroleum industry,IN_INDUSTRY
Japan Energy,kabushiki gaisha,IS_A
Azerbaijan International Operating Company,business,IS_A
Azerbaijan International Operating Company,petroleum industry,IN_INDUSTRY
Cairn Energy,public limited company,IS_A
Cairn Energy,petroleum industry,IN_INDUSTRY
Cairn Energy,joint-stock company,IS_A
Cairn Energy,London Stock Exchange,TRADES_ON
PetroChina,business,IS_A
PetroChina,enterprise,IS_A
PetroChina,petroleum industry,IN_INDUSTRY
PetroChina,joint-stock company,IS_A
PetroChina,Hong Kong Stock Exchange,TRADES_ON
PetroChina,Shanghai Stock Exchange,TRADES_ON
PetroChina,New York Stock Exchange,TRADES_ON
PetroChina,China National Petroleum Corporation,OWNED_BY
Latvijas Gāze,business,IS_A
Latvijas Gāze,enterprise,IS_A
Latvijas Gāze,petroleum industry,IN_INDUSTRY
Latvijas Gāze,joint-stock company,IS_A
MOL Group,business,IS_A
MOL Group,enterprise,IS_A
MOL Group,petroleum industry,IN_INDUSTRY
MOL Group,joint-stock company,IS_A
MOL Group,Budapest Stock Exchange,TRADES_ON
MOL Group,Warsaw Stock Exchange,TRADES_ON
MOL Group,Luxembourg Stock Exchange,TRADES_ON
MOL Group,Government of Hungary,OWNED_BY
MOL Group,ČEZ Group,OWNED_BY
MOL Group,Oman Oil Company,OWNED_BY
MOL Group,OTP Bank,OWNED_BY
MOL Group,UniCredit,OWNED_BY
MOL Group,ING,OWNED_BY
MOL Group,treasury stock,OWNED_BY
Enrico Mattei,human,IS_A
Enrico Mattei,petroleum industry,IN_INDUSTRY
Eni,business,IS_A
Eni,enterprise,IS_A
Eni,natural resource,IN_INDUSTRY
Eni,petroleum industry,IN_INDUSTRY
Eni,Lasmo,WAS_PREVIOUSLY
Eni,società per azioni,IS_A
Eni,New York Stock Exchange,TRADES_ON
Eni,Borsa Italiana,TRADES_ON
Eni,Cassa Depositi e Prestiti,OWNED_BY
Eni,Ministry of Economy and Finance,OWNED_BY
Eni,'People''s Bank of China',OWNED_BY
Wintershall,business,IS_A
Wintershall,petroleum industry,IN_INDUSTRY
Wintershall,gas industry,IN_INDUSTRY
Wintershall,Gesellschaft mit beschränkter Haftung,IS_A
Wintershall,BASF,OWNED_BY
Jet,oil company,IS_A
Jet,business,IS_A
Jet,petroleum industry,IN_INDUSTRY
State Organization for Marketing of Oil,business,IS_A
State Organization for Marketing of Oil,petroleum industry,IN_INDUSTRY
South Caucasus Pipeline,gas pipeline,IS_A
South Caucasus Pipeline,petroleum industry,IN_INDUSTRY
NTV,television station,IS_A
NTV,film studio,IS_A
NTV,film production company,IS_A
NTV,petroleum industry,IN_INDUSTRY
NTV,Media-Most,OWNED_BY
NTV,Gazprom-Media,OWNED_BY
China National Petroleum Corporation,government-owned corporation,IS_A
China National Petroleum Corporation,business,IS_A
China National Petroleum Corporation,petroleum industry,IN_INDUSTRY
China National Petroleum Corporation,State-owned Assets Supervision and Administration Commission of the State Council,OWNED_BY
China National Petroleum Corporation,PetroChina,OWNER_OF
National Iranian Oil Company,business,IS_A
National Iranian Oil Company,oil company,IS_A
National Iranian Oil Company,enterprise,IS_A
National Iranian Oil Company,petroleum industry,IN_INDUSTRY
National Iranian Oil Company,public company,IS_A
